text,label,predict
"john singleton  s finest film  before blockbuster wannabees like the shaft remake  this is a thought  provoking movie with overall great acting and superb balance between the stories  main characters  each with identifiable youngster problems .  br    br   what i liked about it most is that it also covers the problem of selfpity among young blacks  a problem mostly ignored by the media and other films who mostly focus on social  economical problems and racism by whites . this movie shows that blacks can be equally ignorant and racist .  br    br   the masterful thing about this film is that it deals with so many topics without getting shallow . it  s not just about racism  but about how hard it can be to adopt to a new world  college   date rape  discovering sexuality and isolation . omar epps  michael rapaport and kristy swanson each deliver fine performances  and the supporting cast is equally interesting with jennifer connelly as a lez  yay  and with ice cube and busta rhymes as college bums causing little riots .  br    br   the only negative is the caricature of a professor by laurence fishburne   peppermint    . surely  plenty of professors are nutty . but they  re not as flat . the skinheads are also a bit of a caricature  but i guess they are like that too in real life .  br    br   overall a great underrated piece of filmwork  if you liked american history x you  ll love this one .  br    br      out of    
",0,1
"to call a film about a crippled ghost taking revenge from beyond the grave lame and lifeless would be too ironical but this here is an undeniably undistinguished combination of gaslight            via les diaboliques        while still watchable in itself  it  s so clich  ridden as to provoke chuckles instead of the intended chills . however  thanks to the dire straits in which the british film industry found itself in the late     s  even a mediocre script such as this one was able to attract   star names  cliff robertson  as the conniving husband   jean simmons  in the title role   jenny agutter  as robertson  s artist half  sister   simon ward  as the enigmatic chauffeur   ron moody  as an ill  fated doctor   michael jayston  as robertson  s business partner   judy geeson  as simmons  best friend and jayston  s wife   flora robson  as the housekeeper   david tomlinson  as the notary reading simmons  will  and  most surprisingly perhaps  jack warner  as a gravestone sculptor   although most of them actually have nothing parts  i  m sorry to say   
",1,1
"the film  s design seems to be the alpha and omega of some of the major issues in this country  u . s .  . we see relationships all over at the university setting for the film . befittingly  the obvious of student v . s . teacher is present . but what the film adds to its value is its other relationships male v . s . female  white v . s . black  and the individual v . s . society . but most important of all and in direct relation to all of the other relationships is the individual v . s . himself .  br    br   i was amazed at how bilateral a point of view the director gave to showing the race relations on campus . most films typically show the injustices of one side while showing the suffering of the other . this film showed the injustices and suffering of both sides . it did not attempt to show how either was right  although i would say the skin heads were shown a much crueler and vindictive  quite obvious towards the end  . the film also discusses sex and rape . it is ironically this injustice that in some ways brings the two races together  for a time . lawrence fishburne does an over  the  top performance as the sagacious profesor phipps . he crumbles the idea of race favortism and instead shows the parallelism of the lazy and down  trodden with the industrious and positive . other stars that make this film are omar epps  ice cube  and jennifer connelly . michael rapaport gives an excellent portrayal of a confused youth with misplaced anger who is looking for acceptance . tyra banks make her film debut and proves supermodels can act .  br    br   higher learning gets its name in showing college as more than going to class and getting a piece of paper . in fact  i would say the film is almost a satire in showing students interactions with each other  rather than some dry book  as the real education at a university . it is a life  learning process  not a textual one . i think you  ll find  higher learning  is apropos to the important issues at many universities and even life in general .      
",0,0
"cliff robertson as a scheming husband married to a rich wife delivers a razzie  worthy performance here if there ever was one it  s as if director michael anderson kept yelling  dial it down think zombie  only less lively  through his little bullhorn as he coached robertson  s effort . the rest of the cast is barely better jennifer agutter of logan  s run fame is hardly seen in what should have been fleshed out as a pivotal role . if the quality of the acting was three times better if some of the more gaping plot holes were filled and if the pacing were given a shot of adrenaline  then this yawner might be brought up to a standard acceptable to the hallmarklifetime tv channel crowd . as is  its rating is so inexplicably high one can  t help thinking chronic insomniacs are using dominique to catch a little snoozing time . perhaps the late  night tv telemarketers are missing a major opportunity in not shilling it as such .  
",1,1
"i really enjoyed the    s . not being of that generation  i  m waiting for  the    s   it was interesting to see a unique four hour capsule for that era .  br    br   one major problem in the movie  however  was how unbalanced the film was in the portrayal of the families . according to promos i saw for the movie on nbc  the story was basically about two families struggling with issues in      s america . now  i may have missed something  but i think we learned more about the white family than the african american family .  br    br   i really think that the    s uses music to describe the scenes better than any dialogue that could come out of the mouths of the actors  all of which are very talented .  this is very visible at the end of the first part  about two hours in  of the mini  series .  br    br   very good movie   
",1,1
"  dominique  is one of those films that the expression  slow  as  molasses  must have been invented for . too many endless and repetitive sequences  how many times do we see robertson walking down the stairs slowly because he can hear someone playing the piano   . it is almost redeemed at the end by a surprising twist  which  unfortunately  is followed by a second twist that succeeds only in leaving a bad taste in our mouths . not a very enjoyable film .  
",1,1
"sometimes you have to look back to go forward . the    s did just that . we need to remember the past . the past is part of the future .  br    br   great mix gary j . coppola . i see a great future . you deserve to be nominated and win  the    s best mixer of the year .  br    br   best mini  series of all times .  br    br   thanks ursula  br    br    
",1,1
"i  ll have to add dissenting comment here . various reviews i have read compared this movie to the likes of those by wong kar wai or hou hsiao  hsien . i . e . one of the admirable flotilla of mandarin goodies that have come our way in recent years . unfortunately this isn  t quite accurate . the film plays out rather like a film school graduate  s attempt to emulate these masters . all the pieces are there  the beautiful backdrop  the vaguely minimalist dialogue  the slow swaying camerawork  and male leads  in particular  who spend a fair whack of time sitting around being contemplative . sounds good but unfortunately nothing is up to par . the dialogue is leaden . the acting is generally unable to lift the characters above type the married couple and the little sister are particularly poor and uninvolving . unfortunately when mediocre character acting is combined with a classical  chekovian   i . e . very predictable  plot  the results are at best tedious and at worst painful . i couldn  t help but see the  blue danube  river scene  for example  as verging on genre parody  although the smoggy looking  springtime  sky over the river did provide a bit of black humour . . .  i actually went to this movie on the basis that mark li ping was photographing it . while the setting is elegant  and the swaying camera attempts to replicate the mood of  flowers of shanghai   the film is not in the same league  visually . in fact i must confess that after an hour of wondering whether it was the script or the acting that was ruining the film  i suddenly remembered that i was meant to meet my flatmate for dinner and took the chance to leave  and i can  t recall the last film i walked out of  . i  m guessing from the reviews that the ending may have left a positive aftertaste but by that point i couldn  t care . if you  d like to see something along similar lines done with real talent then i  d recommend anything by the above two directors  for example  in the mood for love  or  flowers of shanghai   both of which were filmed by the talented mr ping  the former with chris doyle   and both of which are films masterful enough to inspire years of failed emulations like this . it  s not often mr hoberman leads me astray  and perhaps you  d rather listen to him  but don  t say you weren  t warned . craig .  br    br    
",0,1
"i wasn  t alive in the    s  so i can  t guarantee that this movie was a completely accurate representation of the period  but it is certainly a moving and fulfilling experience . there are some excellent performances  most notably by josh hamilton  of with honors   jerry o  connell  sliders   who play brothers divided by the war . bill smitrovich  a character actor who has been long ignored by many  gives a heart  filled performance as their strict father  who is forced to question his own beliefs and values as one of his sons makes him proud by going to vietnam but returns empty inside  while the other is exactly the opposite . all in all  this is a powerful and heartwarming film that i hope everyone gets a chance to experience .  
",0,0
"not very impressed . its difficult to offer any spoilers to this film  because there is almost no development in the plot . everything becomes clear in the first ten minutes and from there on its like watching paint dry . the acting seems very poor as well  and reminds me of the old black and white maoist era films shown occasionally on daytime chinese television . although this is difficult to tell with the female role  yuwen  as the story seems to only require her walking round like a wooden mannequin . it reminds me of fading star gong li who somehow got a reputation as a good actress in the west for having a scowl on her face all the time .  br    br   tian zhuangzhuang  s film the  blue kite  was a far better film . but don  t be fooled by the fact that springtime in a small town was set in the late    s . unlike the blue kite  the fact that this film is set in a time of upheaval is irrelevant to the plot itself  the ruins of the town seem to be nothing more than a scenic backdrop .  br    br   i wonder whether tian zhuangzhuang is simply trying to ride on the popularity of chinese films in the west and appeal to a foreign audience who can  t tell the difference between a film that is  beautiful   profound  or  hypnotic  and one that is simply tedious and insubstantial .  br    br   if any film fits the description of  overrated   this is it . i see no reason here to stop worrying about the state of the chinese film industry .  
",1,1
"as i saw the movie i was really shocked to see what the    s was about . i know i may be wrong about some things  but it seemed like the    s really had an effect on people of the time . some people said they would want to go back to the    s . from what i saw i would say yes for the excitement and no for the outcome . but that  s my opinion .  
",0,1
"good films cannot solely be based on a beautiful garden and a hill top . surprised to see it has won two awards . extremely overrated . i first saw that kind of films from china  visually stunning but also with really something captivating to say  well  more than   years ago and i  m sure there are still more coming up . this is not one of them  i  m afraid .  
",1,1
"this movie started slowly  then gained momentum towards the middle . however  the fact that the movie ran over two nights broke that momentum at its peak . the second part really got interesting  but then gave way to a simply pathetic ending . playing football in the yard  really  could it get any more sappy and maudlin  now i hear plans for a similar movie based on the    s . i won  t make any great efforts to tune into that one if it  s anything like  the    s .   
",0,0
"i rated basic instinct  high  yet that movie got less than a  rating . this film only got a  from me  but it has  .  from over    people . i don  t see a reason why they like this film so much .  br    br   this film is boring  because it hardly ever leaves those rooms in that broken big house . and it only has a total of  people in this film . it is almost two hours long which is totally unnecessary . many of dialogues are slow and meaningless . the film tone is also dark blue which is depressing to watch . the film can just be shorten to a few sentences .  br    br   this film reminds me of  three times  directed by hou hsiao hsien  that one is equally boring  the dialogues are also equally boring . it also has a high rating  i had to stop watching that one after the first story finished .  br    br   this film lacks of passion or excitement .  
",0,0
"i lived during those times and i think the program caught the heart of the era . i do think it should have dealt with more of the afro american issue but i think it cover a lot in the program . it was scary to sit and watch the riots on t v hoping that they would not go as far as your families home and that it would not get burnt down . i thought jerry o  connell did a great job portraying a vet coming back from the war . i went to school with guys who came back . some had changed more than others and some not so much . it bothers me when someone comments that an issue was not covered enough or it was not entertaining enough . live through it and then make comments . i thought the movie was great and that everyone in it did a remarkable job . thank you for a trip  sad and good  down memory lane .  
",1,1
"this is the first of  the complete dramatic works of william shakespeare  bbc series i  ve seen  and if all of them are like this  i might watch no more . being practically the full text of the play is everything this  romeo  juliet  has going for it  lacking in all other departments . alvin rakoff reveals himself as a dreadful director  both in the technical and artistic aspects . in the former  because he commits mistakes that even a first grade film student would wisely avoid . take in consideration  for example  the badly edited first shot of abraham and balthasar in the opening scene  or the nurse  s entering of friar lawrence  s cell  asking where  s romeo with him being so very in front of her that she  d clearly see him even if she was blind . and  in the latter  because every single one of the performers is misdirected  even if some of them are good actors . rebecca saire looks exactly the way i  ve always imagined juliet to look like  and she doesn  t seem to be a bad actress for a teenager  but her performance totally lacks passion of any kind . patrick ryecart as romeo is even worse  being not only as dull as juliet  but also way too old and not even good  looking  coming across as a combination of malcolm mcdowell and the chucky doll . putting them together makes impossible to think they feel anything for each other  let alone being the main players of the greatest love story ever written . alan rickman  in his screen debut  plays tybalt like if he was darth vader  which is a huge mistake that takes away the complexity that shakespeare intended  no character being a hero or a villain but all flawed human beings . this tybalt is so mean  looking that we don  t believe the characters  pity after his demise . as for paris  i kept thinking of  prince valium  from spaceballs . only celia johnson manages to do the character of the nurse some justice .  br    br   at    minutes  this production is unable to make us empathize with the characters  because the characters don  t empathize with each other and never seen to believe their own roles . the best screen version is still franco zeffirelli  s . but  to be fair  this bbc one isn  t nearly as bad as abominations like george cukor  s flamboyant geriatric version  or the crime against humanity that is baz luhrmann  s feature  length mtv video .     .  
",0,0
"one of the better kung fu movies  but not quite as flawless as i had hoped given the glowing reviews . the movie starts out well enough  with the jokes being visual enough that they translate the language barrier  which is rarer than you  d think for this era  and make the non  fight dialogue sequences passable  for a kung fu movie  this is a great compliment  . unlike other chinese action movies  which were always period pieces or  in the wake of jackie chan  s police story i  cop dramas  pedicab driver gives us a look at contemporary rural china . unfortunately  in the latter    of the movie it takes a nosedive into dark melodrama tragedy which i thought was unnecessary .  br    br   the action is overall good  featuring a duel between sammo and    of the shaw brothers  only  stars  kar  leung lau and then a fight at the end with that taller guy who always plays jet li  s bad guy . there  s only   minutes of combat here  which is standard  but what annoys me is the obvious speeding up of the camera frames . i get that they have to film half speed to avoid hurting each other  but there are smooth edits and then there  s this . it really takes away from the fights when it  s this obvious the footage was messed with .  br    br   that said  if you like kung fu movies  my opinion here won  t dissuade you  and if you don  t  you just wasted  minutes of your life reading this .  
",1,1
"this was a movie i could not wait to see  so i finally got it and i was pretty disappointed . for starters  the movie has so little said about new york  just a bunch of confusing shots of buildings  streets  bridges and cafes . it really doesn  t stay focused on the new york magic . another thing that changed my mind was the french movie set inside this movie . i know that it is a remake  but it is not a french style remake  anyway  here you will notice elements that remind you of french movies  such as long and messy scenes  no or little talking and of course everyone is smoking french style  the story follows many lives  too many for my taste  and they somehow seem connected in the end . i feel like there was no dedication to the characters as much as there was on the stories . the movie was too short to cover every single destiny everyone  s happy ending . so we can see about   people for about  minutes each . and there you have your    minutes  if you like active scenes dialogues and stuff this is not the movie for you  i give it  just because i love new york and i loved the cast   
",0,0
"well let me go say this because i love history and i know that movie is most important piece in our history and it was beautifully executed movie and julia stiles became my   favorite actress after seeing her in  the    s  and i own this movie in my video box with many movies and i suggest you to look for her new movies in the future and try to enjoy history      
",0,0
"for my first taste of shakespeare on stage  i cannot believe what these people did to a perfectly good play .  br    br    let  s start off with the good bit  shall we    br    br   alan rickman is alright  although some of his dialog could have been delivered with more feeling . the rest of the actors needed to pull it together .  br    br   romeo  romeo  whyfore art thou not dead yet  romeo  the actor  while not only completely wooden and deadpan  could not read his lines with any gusto at all . he was completely out of focus  had difficulty even looking juliet in the face  and absolutely no grace with the lines that he was given . whoever cast him deserves to be punished . juliet is almost passable  but she gives no depth to her character  and seems to be completely out of touch with the play . mercutio was incredibly creepy and completely out of character for the entirety of his dialog . benvolio was unfeeling and mercilessly choppy with his lines .  br    br   i was forced to endure this half  baked production of romeo and juliet . the acting was stilted and the costumes were nothing short of distracting . i have seen kindergarten puppet shows with more effort put into them . i only wish that i could give this movie a rating of zero .  
",0,1
"i can agree with other comments that there wasn  t an enormous amount of history discussed in the movie but it wasn  t a documentary  it was meant to entertain and i think it did a very good job at it .  br    br   i agree with the black family . the scenes with them seemed out of place . like all of a sudden it would be thrown in but i did catch on to the story and the connection between the families later on and found it pretty good .  br    br   despite it wasn  t a re  enactment of the   s it did bring into the light very big and important landmark periods of the decade . i found it very entertaining and worth my while to watch .  
",0,0
"easily the best known of all the shakespeare plays  it has been seriously let down here . shoddy direction  stagnant studio work and erratic performances spoil a fine tragedy .  br    br   in the town of verona  the capulets and the montagues have been feuding for centuries but tragedy is imminent when romeo  patrick rycart   a montague  falls in love with juliet  rebecca saire   a capulet . bloodshed soon erupts . . .  br    br   the studio work  especially in daytime scenes  seriously stagnates the energy of the play . it  s a story that  with it  s energy  deserves to be shot outdoors . coupled with this the costumes are hideous  with too many tights and ludicrous codpieces . the stage fighting looks horrendous  with far too much stretching and running around to be engaging .  br    br   patrick ryecart is too lightweight to be a truly effective romeo . he manages the character  s intensity when the plot gets going but his stately accent and bland  often inexpressive eyes limit his range . it is very hard for the audience to relate to this romeo . rebecca saire is too youthful to be a good juliet  she captures the character  s naivet but a little more sassiness would have been welcome .  br    br   the supporting roles don  t fare much better . joseph o  connor  s friar laurence is fine but too many of his best lines have been cut . anthony andrews  mercutio belongs on stage and not on camera . he gurns and gesticulates excessively and looks rather ridiculous as a result . alan rickman  underplaying his role  has virtually no presence as tybalt . he did develop an edge and intensity to deliver some fine screen performances in later years  but that isn  t in evidence here . the prince can be a fine role with his brief appearances but actor lawrence naismith fails to give the part any authority on camera . only micheal hordern  in probably his best role in this series  comes out of this with any dignity . his capulet is well  played and a joy to watch .  br    br   see one of the other versions of this story instead .  
",0,0
"great  great  great  that is all i can say about that movie  but imdb want at least four lines of text so i  ll elaborate . the cast was great  jerry o  connel is soooo cute    the music was great  the sixties had the best music ever  imho   the historical material was interesting  and so was the way they made the actors of the    s seem like they were actually there in the    s . and most of all  the stories of the main characters brought tears to my eyes  and that is the greatness of any drama . but in one word great   
",1,0
"have to admit  this version disgraces shakespeare upfront  none can act except the nurse who was my fav  juliet had good skills as a teen but she can  t give emotional depth to her lines and we really can never connect to her . she  s worse doing the scene when she is contemplating drinking the sleeping potion . . . god stop whining  i would have poured it in her mouth to shut her up  anthony andrews . . . yikes  considering his other great movies  brideshead revisited  ivanhoe  scarlet pimpernel   he  s quite a shocker in this one . and don  t get me started on romeo . . . puhleasssssee  it  s still good to see if you  re on the hunt to see every romeo and juliet ever made in the history of film . olivia and leonard  s version is still the best  followed by leslie howard  s version and then the current leo and clare   
",1,0
"the   s is a well balanced mini series between historical facts and a good plot . in four deliveries  we follow a north american family  with  members . but we don  t only see them . we also follow the story of several characters as a black reverend  an extremist student leader  and a soldier in vietnam . the filmography is just extraordinary . in the first chapters  we see some shots of the vietnam war  in between the scenes . the next chapter  doesn  t start where the last one finished  it starts some time after  giving us a little mystery on what happened . in general  the   s mini series  is a must see  not only for hippies fanatics  but for everyone with little curiosity about the topic .  
",0,0
"celia johnson is good as the nurse . michael hordern is good as capulet  though it  s his usual neighing and whinnying and not a patch on his king lear . john o  conor reads the verse well as friar laurence though he never takes it anywhere . alan rickman is good as tybalt  in the first of his  yuk  roles that would make him famous . christopher strauli  s benvolio is sympathetic .  br    br   the sets are pretty  if not stunning as in some of the other bbc shakespeare  s .  br    br   and that  s it . the rest is weak to dreadful . rebecca saire turned   during production  and hasn  t a clue about how to act juliet  she opens her eyes real wide and whines every line in exactly the same way . patrick ryecart is poorly matched to her  and his self  regard is inexplicable . the balcony scene flows smoothly and uneventfully with zero emotional or erotic impact . their deaths come as a relief . if i had a dagger  i would have offered it to them hours earlier .  br    br   anthony andrews is unspeakable as mercutio  a great shock if you remember his fine work in  brideshead revisited .  he breaks the mirror of shakespeare  s verse into a thousand shards of two or three words each  and then shouts the fragments in as disconnected and unintelligible manner as possible . in this production  queen mab abdicates . awful .  br    br   the director  alvin rakoff  shows only an intermittent gift of putting the camera where it will show us what we want to see . the opening brawl is notably incoherent . however there is humor when in a later fight  romeo apparently knees tybalt right in the cobblers . tybalt then grabs the offended region . however did that get through   br    br   rj is a long play . this version is not recommended for classroom use  or much else .  
",1,1
